USERID,SYMBOL,EXCHANGE,TRANSACTION,QUANTITY,LOTS,MULTIPLIER,OrderID,ENTRY TIME,ENTRY PRICE,ENTRY REASON,OPTION TYPE,STRIKE,PORTFOLIO NAME,STRATEGY,EXIT TIME,AVG EXIT PRICE,EXIT REASON,PNL,_IS_HEDGE,_PARENT_ID
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-1ddf4607-b04a-4200-b1c4-225e3c92afd1,15-03-2022 00:00:00,39338.79,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,01-04-2022 00:00:00,46281.64,Strategy Signal,6857.23,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-dd016168-b4b9-468f-8e16-78251e313e10,15-04-2024 00:00:00,63426.21,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,16-04-2024 00:00:00,63811.86,Strategy Signal,258.41,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-58271fa0-fd8b-4538-98c6-66540d365029,15-05-2013 00:00:00,114.22,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,12-06-2013 00:00:00,108.15,Strategy Signal,5.85,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-07b224c6-2742-4310-a219-8098f36493db,15-05-2025 00:00:00,103744.64,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,16-05-2025 00:00:00,103489.29,Strategy Signal,48.12,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-5eb14047-98e7-42c3-9d43-8d508e56cff2,15-06-2022 00:00:00,22572.84,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,16-06-2022 00:00:00,20381.65,Strategy Signal,2148.24,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-a0972139-70e6-4237-babf-82f035492db2,15-07-2019 00:00:00,10895.09,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,29-07-2019 00:00:00,9519.15,Strategy Signal,1355.52,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-b63cfa60-aead-469c-a162-a73078ee9f3b,15-09-2013 00:00:00,130.37,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,18-09-2013 00:00:00,131.47,Strategy Signal,-1.36,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-76284500-97e3-4af9-a857-e99021f0af2a,15-09-2017 00:00:00,3637.52,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,16-09-2017 00:00:00,3625.04,Strategy Signal,5.21,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-bc3ac9e9-48bc-400f-a508-83e2c01ca562,15-10-2016 00:00:00,638.65,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,18-11-2016 00:00:00,751.59,Strategy Signal,111.55,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-afe58b5f-ed78-4891-9839-aa00807cf66d,15-11-2013 00:00:00,417.95,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,20-11-2013 00:00:00,590.83,Strategy Signal,171.87,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-083c6b7b-7870-46b7-90f8-9b4839c1bc20,15-12-2013 00:00:00,876.12,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,20-12-2013 00:00:00,625.32,Strategy Signal,249.29,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-d28424da-4ec5-4f13-b580-ab0f722b15d2,15-12-2019 00:00:00,7152.3,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,19-12-2019 00:00:00,7202.84,Strategy Signal,-64.89,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-8e929385-f987-4142-9a64-a63b41be898e,16-01-2025 00:00:00,99756.91,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,12-02-2025 00:00:00,97885.86,Strategy Signal,-2068.7,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-a8a404ab-a29f-4dbe-a12f-c9a4cc543252,16-02-2023 00:00:00,23623.47,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,17-02-2023 00:00:00,24565.6,Strategy Signal,893.94,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-8c8bedab-9383-4819-88ba-a99eaa7d9e7a,16-03-2021 00:00:00,56804.9,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,20-03-2021 00:00:00,58313.64,Strategy Signal,-1623.85,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-536551e8-646f-4e0f-a862-27d690029978,16-04-2025 00:00:00,84033.87,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,09-05-2025 00:00:00,102970.85,Strategy Signal,-19123.98,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-241e962e-7d31-4c6b-a256-d76f7b0de655,16-05-2024 00:00:00,65231.58,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,27-06-2024 00:00:00,61604.8,Strategy Signal,-3753.61,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-479d4e5d-22f9-4c6b-bc74-dd53eee8d33d,16-08-2020 00:00:00,11892.8,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,23-08-2020 00:00:00,11664.85,Strategy Signal,204.4,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-a228ad70-8fb4-4835-8b8d-f36bd0b90097,16-10-2013 00:00:00,142.55,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,17-10-2013 00:00:00,146.25,Strategy Signal,3.41,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-c62c5318-3d79-4a7a-a7aa-1c0fb39cd668,17-01-2016 00:00:00,382.3,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,18-01-2016 00:00:00,387.17,Strategy Signal,4.1,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-f6ec4921-5f6d-455a-9aaa-3daac7205dcd,17-06-2016 00:00:00,748.91,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,23-06-2016 00:00:00,623.98,Strategy Signal,-126.3,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-5c3b3159-c88d-4fd0-806b-865c71c6e78e,17-07-2015 00:00:00,279.47,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,18-07-2015 00:00:00,274.9,Strategy Signal,4.02,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-610b01a4-d74f-458f-a4ba-13970426ffb7,17-11-2014 00:00:00,387.41,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,28-12-2014 00:00:00,317.24,Strategy Signal,-70.88,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-9c7d4ecf-406a-4576-bbd5-2ba56960f5db,17-11-2017 00:00:00,7708.99,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,18-11-2017 00:00:00,7790.15,Strategy Signal,65.66,False,
